,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,이닝,RE24 세부,RE24 세부,RE24,REW,WPA 세부,WPA 세부,WPA 세부,WPA 세부,WPA,pLI,WPA/LI,Clutch,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,WPA,출장,이닝,타격,주루,RE24,REW,타격,주루,Plus,Minus,WPA,pLI,WPA/LI,Clutch,Unnamed: 18_level_2,Unnamed: 19_level_2,Unnamed: 20_level_2,Unnamed: 21_level_2,Unnamed: 22_level_2,Unnamed: 23_level_2,Unnamed: 24_level_2,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
61,50,KIA,20,-7.30,639,1269.1,-84.51,-12.87,-97.39,-9.06,-5.26,-2.06,92.03,-99.33,-7.30,0.95,-11.23,3.55,,,,,,,,,,,,,,,,,,
62,51,두산,15,-7.41,623,1286.0,-46.93,-17.20,-64.13,-5.88,-5.60,-1.81,94.73,-102.14,-7.41,0.97,-9.97,2.32,,,,,,,,,,,,,,,,,,
63,52,KIA,15,-8.59,628,1273.0,-19.90,-16.34,-36.24,-3.32,-6.88,-1.70,95.35,-103.94,-8.59,0.99,-13.00,4.33,,,,,,,,,,,,,,,,,,
64,53,LG,14,-9.04,574,1142.2,-0.12,-14.84,-14.96,-1.31,-6.92,-2.12,87.84,-96.88,-9.04,1.05,-4.55,-4.07,,,,,,,,,,,,,,,,,,
65,54,SK,17,-9.09,608,1270.2,-53.02,-12.35,-65.37,-5.94,-7.78,-1.31,94.97,-104.07,-9.09,0.97,-12.27,2.94,,,,,,,,,,,,,,,,,,
66,55,SSG,21,-9.41,660,1276.2,-29.19,-11.16,-40.34,-3.96,-7.96,-1.45,96.36,-105.77,-9.41,1.02,-8.99,-0.29,,,,,,,,,,,,,,,,,,
67,56,SK,18,-10.28,634,1274.2,-13.29,-14.92,-28.21,-2.49,-8.39,-1.89,88.93,-99.22,-10.28,0.94,-8.83,-2.16,,,,,,,,,,,,,,,,,,
68,57,SK,16,-10.56,600,1274.0,-74.47,-9.23,-83.70,-7.34,-9.83,-0.73,93.72,-104.28,-10.56,0.98,-11.96,1.14,,,,,,,,,,,,,,,,,,
69,58,롯데,20,-10.70,689,1277.1,1.72,-19.78,-18.06,-1.68,-7.84,-2.85,87.57,-98.27,-10.70,0.92,-6.97,-4.62,,,,,,,,,,,,,,,,,,
70,59,삼성,18,-10.91,618,1285.1,-78.45,-12.14,-90.59,-8.00,-9.42,-1.49,95.09,-106.00,-10.91,0.96,-14.11,2.76,,,,,,,,,,,,,,,,,,
71,60,한화,22,-11.27,749,1268.1,-46.26,-11.83,-58.09,-5.93,-9.47,-1.82,93.61,-104.88,-11.27,1.00,-8.83,-2.48,,,,,,,,,,,,,,,,,,
72,61,넥센,16,-11.47,608,1280.1,-45.03,-3.96,-48.99,-4.29,-11.18,-0.28,92.53,-104.00,-11.47,0.96,-12.57,0.62,,,,,,,,,,,,,,,,,,
73,62,롯데,14,-11.89,528,1100.0,-83.78,-11.53,-95.31,-8.36,-10.72,-1.17,78.68,-90.57,-11.89,0.96,-12.59,0.22,,,,,,,,,,,,,,,,,,
