,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,비율,비율,비율,비율,비율,WAR,WPA,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
76,65,롯데,22,13.49,675,0,0,144,63,76,33,68,1280.2,712,636,5686,1373,257,22,84,492,21,80,1199,1,71,4.47,3.61,1.46,93.1,113.1,13.49,-2.38,,,
77,66,삼성,22,13.46,686,1,1,144,66,76,34,71,1287.0,695,619,5678,1370,251,14,129,478,22,66,971,3,47,4.33,4.35,1.44,96.4,95.0,13.46,-4.63,,,
78,67,한화,16,13.12,680,1,0,144,66,75,24,39,1292.2,908,828,5937,1520,230,15,155,634,23,76,976,6,72,5.76,5.44,1.67,91.1,96.5,13.12,-19.05,,,
79,68,LG,18,13.04,601,3,2,144,68,75,29,43,1268.2,816,750,5677,1434,266,19,159,453,13,89,1058,4,72,5.32,5.05,1.49,94.8,99.2,13.04,-17.54,,,
80,69,kt,15,12.82,652,3,0,144,52,91,16,31,1266.2,875,782,5799,1518,273,25,154,577,17,87,1046,4,88,5.56,5.08,1.65,90.4,96.6,12.82,-21.93,,,
81,70,kt,17,12.68,588,4,2,144,50,94,22,41,1256.0,876,806,5702,1524,283,27,174,433,11,95,913,6,77,5.78,5.32,1.56,87.8,93.8,12.68,-19.75,,,
82,71,KIA,22,12.68,675,0,0,144,70,73,38,74,1279.2,679,599,5636,1286,233,22,120,526,20,67,1042,2,58,4.21,4.27,1.42,96.8,95.9,12.68,-2.45,,,
83,72,삼성,16,12.55,647,2,0,144,65,78,34,60,1282.1,869,804,5799,1507,251,20,193,518,6,87,935,8,52,5.64,5.69,1.58,93.4,91.7,12.55,-20.19,,,
84,73,한화,20,12.32,705,1,1,144,46,95,21,54,1265.0,820,744,5756,1400,240,18,158,609,22,79,1019,5,77,5.29,5.15,1.59,89.3,93.0,12.32,-12.46,,,
85,74,KT,19,12.31,567,2,1,144,71,70,37,59,1276.0,661,611,5529,1302,225,25,118,481,17,61,847,6,50,4.31,4.51,1.40,96.0,91.2,12.31,-1.44,,,
