,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,PF조정,출장,이닝,ERA,FIP,RA,FIPRA,F-E,R-E,BABIP,LOB%,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,kwERA,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,ERA+,출장,이닝,ERA,FIP,RA,FIPRA,F-E,R-E,BABIP,LOB%,ERA,FIP,RA,FIPRA,ERA+,FIP+,kwERA,Unnamed: 21_level_2,Unnamed: 22_level_2,Unnamed: 23_level_2,Unnamed: 24_level_2,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
88,77,KIA,19,89.9,603,1264.0,4.66,4.23,5.15,4.67,-0.43,0.48,.322,67.7,4.65,4.23,5.13,4.66,89.9,98.9,4.39,,,,,,,,,,,,,,,
89,78,한화,20,89.3,705,1265.0,5.29,5.15,5.83,5.64,-0.15,0.54,.323,67.9,5.35,5.13,5.89,5.62,89.3,93.0,4.55,,,,,,,,,,,,,,,
90,79,두산,22,89.2,670,1279.1,4.46,4.44,5.07,4.97,-0.02,0.61,.310,69.0,4.57,4.56,5.20,5.11,89.2,89.4,4.51,,,,,,,,,,,,,,,
91,80,KIA,14,88.5,507,1121.2,5.90,5.26,6.32,5.70,-0.64,0.43,.341,64.3,5.95,5.24,6.38,5.68,88.5,100.6,4.62,,,,,,,,,,,,,,,
92,81,kt,16,88.1,693,1273.0,5.93,5.23,6.55,5.72,-0.70,0.62,.357,64.4,5.89,5.20,6.51,5.68,88.1,99.9,4.55,,,,,,,,,,,,,,,
93,82,kt,17,87.8,588,1256.0,5.78,5.32,6.28,5.77,-0.46,0.50,.336,65.0,5.68,5.31,6.17,5.77,87.8,93.8,4.39,,,,,,,,,,,,,,,
94,83,SK,20,86.2,686,1259.1,5.60,5.48,6.05,6.01,-0.11,0.45,.309,66.9,5.54,5.37,5.99,5.88,86.2,88.9,4.81,,,,,,,,,,,,,,,
95,84,롯데,19,86.0,664,1270.1,4.87,4.39,5.41,4.84,-0.49,0.54,.330,67.9,4.86,4.37,5.40,4.83,86.0,95.6,4.38,,,,,,,,,,,,,,,
96,,한화,19,86.0,649,1268.2,4.82,4.55,5.23,5.02,-0.26,0.41,.325,69.0,4.86,4.58,5.28,5.05,86.0,91.4,4.53,,,,,,,,,,,,,,,
97,,삼성,17,86.0,613,1281.1,5.90,5.50,6.40,5.97,-0.40,0.50,.343,66.6,5.80,5.44,6.29,5.90,86.0,91.7,4.36,,,,,,,,,,,,,,,
98,87,한화,14,85.1,530,1129.0,6.38,6.00,7.09,6.50,-0.38,0.71,.347,64.1,6.19,5.98,6.88,6.48,85.1,88.0,4.92,,,,,,,,,,,,,,,
99,88,롯데,21,84.5,732,1271.0,5.38,4.75,5.72,5.23,-0.63,0.34,.318,67.1,5.27,4.73,5.60,5.21,84.5,94.0,4.57,,,,,,,,,,,,,,,
100,89,한화,22,84.0,749,1268.1,4.82,4.48,5.39,5.02,-0.34,0.57,.311,67.3,4.85,4.48,5.42,5.01,84.0,91.1,4.62,,,,,,,,,,,,,,,
