,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,가치,출장,이닝,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,직구,출장,이닝,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,Unnamed: 22_level_2,Unnamed: 23_level_2,Unnamed: 24_level_2,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
52,41,한화,18,-30.0,685,1274.0,-30.0,-3.6,-2.8,-5.2,0.9,3.5,-0.1,0.0,-0.29,-0.10,-0.16,-0.23,0.04,0.17,-9.90,,,,,,,,,,,,,,,
53,42,삼성,22,-30.0,686,1287.0,-30.0,8.1,7.7,47.6,-3.0,-10.2,0.0,0.0,-0.32,0.14,0.43,1.66,-0.36,-0.69,,,,,,,,,,,,,,,,
54,43,키움,21,-31.6,629,1261.1,-31.6,13.9,9.7,4.5,15.3,2.1,0.0,0.0,-0.49,0.40,0.38,0.18,2.77,0.04,,,,,,,,,,,,,,,,
55,44,롯데,21,-32.0,732,1271.0,-32.0,-14.3,-4.1,-17.4,0.9,-3.2,-1.0,0.0,-0.31,-0.29,-0.27,-0.92,0.04,-0.20,-6.44,,,,,,,,,,,,,,,
56,45,키움,20,-32.4,730,1280.1,-32.4,26.9,23.1,15.5,-5.2,-1.7,0.0,0.0,-0.40,0.72,0.99,0.69,-0.50,-0.04,,,,,,,,,,,,,,,,
57,46,넥센,17,-33.8,554,1271.0,-33.8,2.6,-12.3,-4.5,-4.8,5.1,0.0,-1.2,-0.45,0.06,-0.81,-0.34,-0.24,0.26,,-0.04,,,,,,,,,,,,,,
58,47,한화,19,-34.2,649,1268.2,-34.2,-6.1,-1.7,12.4,7.6,-8.3,0.0,0.0,-0.43,-0.18,-0.08,0.50,0.37,-0.28,,,,,,,,,,,,,,,,
59,48,KIA,17,-35.1,582,1290.0,-35.1,28.4,-8.2,-0.5,0.7,4.6,0.0,-2.8,-0.30,0.68,-0.44,-0.02,0.08,1.31,,-0.04,,,,,,,,,,,,,,
60,49,삼성,19,-35.6,627,1275.1,-35.6,-5.9,34.8,-11.5,8.2,-1.1,0.0,0.0,-0.35,-0.10,1.42,-0.54,1.80,-0.15,,,,,,,,,,,,,,,,
61,50,한화,22,-36.2,749,1268.1,-36.2,-11.6,8.9,-17.6,26.0,-2.6,0.0,0.0,-0.35,-0.32,0.33,-1.03,1.23,-0.26,,,,,,,,,,,,,,,,
62,51,롯데,20,-37.0,689,1277.1,-37.0,39.1,-4.4,-3.8,11.2,2.2,-1.5,0.0,-0.45,0.72,-0.26,-0.19,0.48,0.13,-1.23,,,,,,,,,,,,,,,
63,52,한화,15,-37.2,672,1279.2,-37.2,3.2,-10.2,15.9,-10.1,2.4,0.0,-19.8,-0.32,0.06,-0.49,1.19,-1.46,0.83,,-0.03,,,,,,,,,,,,,,
64,53,롯데,15,-37.9,618,1281.1,-37.9,-28.2,-14.0,3.5,8.3,3.0,0.0,-8.0,-0.40,-0.73,-0.59,0.41,0.54,0.28,,-0.02,,,,,,,,,,,,,,
65,54,SSG,21,-40.2,660,1276.2,-40.2,16.8,-3.6,-1.3,6.5,-3.1,-0.0,0.0,-0.39,0.34,-0.21,-0.08,0.31,-0.18,-3.40,,,,,,,,,,,,,,,
66,55,롯데,17,-40.8,623,1287.1,-40.8,32.7,6.3,6.9,22.2,1.7,0.0,-3.0,-0.45,0.82,0.24,0.47,0.82,0.17,,-0.04,,,,,,,,,,,,,,
67,56,KIA,16,-43.5,635,1276.0,-43.5,17.2,-5.5,-12.3,-3.2,2.3,0.0,0.1,-0.40,0.33,-0.32,-0.87,-0.48,0.15,,0.00,,,,,,,,,,,,,,
68,57,한화,17,-46.3,634,1273.0,-46.3,23.9,-13.3,-14.8,-20.9,-24.6,0.0,-1.5,-0.44,0.56,-0.92,-1.40,-0.63,-1.80,,-0.04,,,,,,,,,,,,,,
69,58,넥센,18,-51.3,591,1282.0,-51.3,12.8,-1.9,-15.2,-1.9,-7.5,0.0,-0.1,-0.62,0.26,-0.10,-0.82,-0.17,-0.22,,-0.05,,,,,,,,,,,,,,
