,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,타석,홈런,홈런 타점,홈런 타점,홈런 타점,홈런 타점,홈런 방향,홈런 방향,홈런 방향,홈런 방향,홈런 방향,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
94,순,이름,팀,정렬,타석,홈런,홈런 타점,홈런 타점,홈런 타점,홈런 타점,홈런 방향,홈런 방향,홈런 방향,홈런 방향,홈런 방향,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
95,순,이름,팀,홈런,타석,홈런,1,2,3,4,좌,LC,중,RC,우,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
96,71,KT,21,106,5619,106,52,33,17,4,64,0,9,0,33,336,7.0,26.4,31.6,0.13,53.0,45.30,.116
97,,롯데,22,106,5534,106,50,40,11,5,73,0,7,0,26,349,7.1,26.4,30.4,0.13,52.2,46.68,.117
98,73,NC,22,105,5585,105,55,27,19,4,50,0,5,0,50,350,7.1,27.8,30.0,0.12,53.2,46.66,.117
99,74,한화,14,104,5055,104,56,25,19,4,34,9,18,6,37,351,7.9,28.1,29.6,0.14,48.6,42.47,.132
100,75,KT,19,103,5572,103,63,25,14,1,63,0,15,0,25,309,6.2,22.5,33.3,0.12,54.1,48.12,.108
101,,삼성,22,103,5647,103,51,38,14,0,71,0,6,0,26,363,7.2,26.8,28.4,0.12,54.8,48.77,.117
102,77,두산,22,101,5510,101,63,24,13,1,58,0,3,0,39,323,6.6,25.9,31.3,0.12,54.6,48.44,.110
103,78,LG,19,94,5532,94,47,32,9,6,57,0,6,0,29,342,6.9,26.0,27.5,0.11,58.9,52.38,.111
104,,키움,22,94,5655,94,57,22,11,4,49,0,6,0,39,330,6.7,26.4,28.5,0.11,60.2,52.69,.111
105,80,키움,21,90,5645,90,46,29,12,3,50,0,8,0,32,362,7.4,28.8,24.9,0.11,62.7,54.09,.117
106,순,이름,팀,정렬,타석,홈런,홈런 타점,홈런 타점,홈런 타점,홈런 타점,홈런 방향,홈런 방향,홈런 방향,홈런 방향,홈런 방향,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
107,순,이름,팀,홈런,타석,홈런,1,2,3,4,좌,LC,중,RC,우,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
108,,LG,14,90,5070,90,42,25,15,8,43,4,11,4,28,325,7.5,26.8,27.7,0.12,56.3,48.32,.121
109,,롯데,19,90,5488,90,54,25,10,1,59,0,4,0,27,326,6.6,26.5,27.6,0.11,61.0,54.66,.107
110,83,한화,19,88,5482,88,53,19,11,5,44,0,3,0,41,327,6.7,26.2,26.9,0.10,62.3,55.48,.106
111,,한화,22,88,5513,88,50,27,8,3,39,0,5,0,44,324,6.6,27.1,27.2,0.11,62.7,55.42,.106
112,85,두산,19,84,5669,84,43,21,15,5,23,0,7,0,54,350,7.1,25.7,24.0,0.08,67.5,58.48,.112
113,86,한화,21,80,5495,80,48,16,9,7,38,0,10,0,32,310,6.6,27.9,25.8,0.11,68.7,58.59,.104
114,87,한화,20,79,5483,79,43,21,14,1,42,0,6,0,31,286,5.9,24.1,27.6,0.10,69.4,61.54,.094
115,88,KIA,19,76,5505,76,35,28,10,3,32,0,13,0,31,343,7.0,26.7,22.2,0.09,72.4,64.13,.106
116,89,KIA,21,66,5577,66,27,25,13,1,30,0,5,0,31,270,5.6,22.5,24.4,0.08,84.5,73.20,.088
