,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,평속,타석,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%
,순,이름,팀,직구,타석,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%
92,69,KIA,15,141.3,5454,141.3,129.9,117.7,127.1,129.1,136.9,119.9,93.1,49.6,22.1,10.7,6.1,3.5,4.2,0.2,3.6,62.7,26.2,44.6,84.8,58.8,77.2,50.3
93,70,NC,17,141.3,5790,141.3,129.9,116.6,126.6,129.6,138.1,121.4,116.0,47.3,19.9,9.6,8.2,7.7,6.7,0.3,0.3,69.0,28.2,46.3,88.3,67.2,81.1,44.2
94,순,이름,팀,평속,타석,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%
95,순,이름,팀,직구,타석,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%
96,71,한화,14,141.3,5055,141.3,129.3,118.2,127.5,128.8,131.0,125.2,119.3,61.1,18.3,9.6,7.2,2.5,0.8,0.2,0.3,63.5,23.2,43.2,89.4,63.4,82.4,49.6
97,72,두산,14,141.2,5083,141.2,129.7,118.1,127.7,129.7,134.8,118.8,126.1,58.4,19.3,9.2,7.1,3.7,1.6,0.1,0.6,63.9,26.0,44.2,90.1,68.2,83.4,48.0
98,73,SK,17,141.2,5564,141.2,130.3,116.8,125.2,129.4,140.0,120.5,112.5,46.3,20.0,9.6,9.9,9.0,4.8,0.2,0.3,71.0,29.4,47.6,85.2,64.1,77.8,43.8
99,74,SK,16,141.2,5672,141.2,129.8,116.9,127.1,129.8,138.8,,31.7,48.7,21.3,8.9,8.2,6.4,5.8,0.0,0.7,69.4,28.7,48.5,86.3,59.7,78.2,48.6
100,75,NC,15,141.1,5727,141.1,130.1,117.4,127.0,130.0,136.1,120.8,107.3,50.9,22.7,11.1,5.6,3.3,2.6,0.1,3.8,64.4,27.4,45.1,88.2,62.2,80.0,47.9
101,76,삼성,14,141.1,5152,141.1,129.0,117.7,128.4,129.4,127.7,125.7,118.7,60.5,19.7,9.2,6.0,3.6,0.9,0.0,0.1,64.7,23.2,43.3,89.3,64.7,82.5,48.5
102,77,삼성,17,141.1,5707,141.1,130.6,117.2,127.0,129.4,138.2,119.4,111.4,46.2,21.0,9.6,8.5,7.7,6.4,0.5,0.2,64.0,30.2,45.9,88.8,69.1,81.9,46.4
103,78,롯데,17,141.1,5671,141.1,129.9,116.8,127.4,129.1,137.7,118.6,109.1,46.7,20.5,9.2,8.9,6.9,6.9,0.4,0.5,67.4,28.0,45.3,88.4,66.3,80.7,43.8
104,79,KIA,16,141.1,5696,141.1,129.6,116.8,126.9,129.5,139.0,112.5,67.2,49.8,22.0,8.8,7.5,7.0,4.7,0.0,0.3,63.9,26.2,46.4,86.2,57.5,78.6,53.4
105,80,kt,15,141.0,5605,141.0,129.8,117.6,126.5,128.9,134.6,,100.2,51.8,21.2,10.2,6.2,3.4,4.3,0.0,2.9,65.3,24.4,45.7,85.0,59.5,78.4,52.0
106,순,이름,팀,평속,타석,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%
107,순,이름,팀,직구,타석,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%
108,81,kt,17,141.0,5484,141.0,130.3,116.5,126.4,129.4,137.3,116.9,101.2,48.1,19.9,9.7,8.3,8.2,5.6,0.0,0.2,68.8,28.5,46.7,86.8,67.4,80.3,45.1
109,82,롯데,15,141.0,5680,141.0,130.0,116.8,126.7,129.4,138.4,111.4,100.0,51.8,21.3,10.6,6.5,3.5,3.8,0.0,2.5,64.5,25.4,45.0,85.9,60.2,78.7,50.3
110,83,NC,14,141.0,5031,141.0,129.7,117.6,127.7,129.5,131.3,117.9,127.9,60.9,15.4,10.5,6.0,4.2,0.8,0.1,2.0,62.7,32.0,45.6,87.8,69.5,80.7,44.5
